Mech',Matches Played,Wins,Losses,Ratio,Kills,Deaths,Ratio.1,Damage Done,Time Played
SPIDER SDR-5D,510,281,226,1.24,453,286,1.58,"197,517",296:13:27
COMMANDO COM-1D,731,394,324,1.22,511,491,1.04,"232,752",126:15:59
TEMPEST,42,14,28,0.5,35,32,1.09,"11,569",63:18:12
ANANSI,499,243,256,0.95,272,313,0.87,"137,876",57:52:07
CORSAIR COR-7A,253,123,124,0.99,161,196,0.82,"85,849",42:16:53
WARHAMMER WHM-6R,246,112,128,0.88,107,177,0.6,"65,317",41:30:13
WARHAMMER WHM-7S,279,142,132,1.08,240,217,1.11,"109,227",41:12:57
MAD CAT MK II MCII-4,246,120,123,0.98,161,156,1.03,"98,548",30:23:39
ATLAS AS7-D-DC,175,101,73,1.38,103,140,0.74,"61,034",27:47:20
KIT FOX KFX-C,194,83,111,0.75,102,125,0.82,"44,381",27:06:22
UZIEL UZL-2S,218,117,101,1.16,169,139,1.22,"89,342",23:54:05
SPIDER SDR-5K,165,102,63,1.62,165,86,1.92,"56,915",22:47:31
CHAMPION CHP-1NB,201,87,113,0.77,123,155,0.79,"60,005",20:29:47
TOP DOG,160,78,81,0.96,98,112,0.88,"55,409",18:47:25
PIRANHA PIR-A,138,77,61,1.26,89,79,1.13,"34,463",15:49:10
KIT FOX KFX-G,139,61,78,0.78,74,103,0.72,"29,108",15:14:07
KIT FOX KFX-S,129,59,68,0.87,72,75,0.96,"34,694",14:40:17
FAFNIR FNR-5,110,63,47,1.34,109,70,1.56,"45,950",14:36:13
FLEA FLE-20,97,49,46,1.07,67,60,1.12,"28,656",13:02:12
KING CRAB KGC-001,139,67,72,0.93,88,114,0.77,"54,041",12:54:18
SPIDER SDR-5V,47,22,23,0.96,13,34,0.38,"7,972",11:30:35
IV-FOUR,81,42,39,1.08,63,67,0.94,"30,977",11:18:53
DERVISH DV-6MR,105,55,49,1.12,106,84,1.26,"51,298",10:08:57
MAULER MAL-1R,96,46,50,0.92,60,79,0.76,"37,700",09:45:58
ORION ON1-VA,33,19,14,1.36,25,28,0.89,"8,784",09:41:28
AWESOME AWS-9M,60,27,32,0.84,53,52,1.02,"20,017",09:19:35
DIRE WOLF DWF-PRIME,86,38,48,0.79,52,72,0.72,"29,481",08:36:28
CHARGER CGR-1A5,48,31,16,1.94,20,30,0.67,"9,205",08:26:51
PURIFIER,55,30,25,1.2,33,27,1.22,"23,213",08:25:25
CATAPULT CPLT-C4,77,37,39,0.95,51,57,0.89,"27,378",08:22:16
MIST LYNX MLX-G,59,31,27,1.15,59,33,1.79,"18,132",08:12:57
ASSASSIN ASN-23,59,31,28,1.11,40,42,0.95,"15,900",07:31:29
ULTRAVIOLET,54,23,30,0.77,47,37,1.27,"30,279",06:37:58
FIRESTARTER FS9-H,67,28,39,0.72,24,47,0.51,"11,658",06:23:18
LOCUST LCT-1V,51,27,23,1.17,40,28,1.43,"14,686",06:17:03
TIMBER WOLF TBR-C(C),49,13,34,0.38,28,38,0.74,"15,581",06:04:55
ATLAS AS7-K3,42,24,16,1.5,19,37,0.51,"12,142",05:58:35
URBANMECH UM-R80,19,7,12,0.58,8,8,1.0,"4,343",05:44:51
ENFORCER ENF-4R(C),38,16,20,0.8,15,30,0.5,"6,068",05:33:49
MARAUDER II MAD-4HP,38,21,16,1.31,26,26,1.0,"15,525",05:25:09
HIGHLANDER HGN-733C(C),43,18,24,0.75,7,37,0.19,"6,822",05:16:27
RIFLEMAN IIC RFL-IIC-2,52,19,32,0.59,31,45,0.69,"17,202",04:58:05
PHOENIX HAWK PXH-2(C),25,8,17,0.47,6,21,0.29,"3,678",04:55:19
SNOWBALL,48,18,30,0.6,19,34,0.56,"11,112",04:54:52
CHARGER CGR-1A1,32,21,10,2.1,20,15,1.33,"6,623",04:42:40
CATAPHRACT CTF-4X,41,19,22,0.86,30,31,0.97,"16,437",04:40:53
ANNIHILATOR ANH-2A,49,28,21,1.33,21,41,0.51,"18,548",04:39:30
ATLAS AS7-D,34,14,20,0.7,19,28,0.68,"11,772",04:03:18
PANTHER PNT-10K(C),34,10,24,0.42,7,28,0.25,"3,909",03:59:15
SHADOW HAWK SHD-2K,40,22,17,1.29,18,31,0.58,"11,975",03:44:57
CRAEL,38,21,17,1.24,43,31,1.39,"16,398",03:32:52
CYCLOPS CP-10-Q,28,12,13,0.92,19,26,0.73,"10,001",03:32:41
NOVA NVA-S(C),31,12,18,0.67,7,21,0.33,"6,206",03:24:24
EMBER,30,18,12,1.5,27,17,1.59,"9,547",03:15:18
BOLT,29,16,12,1.33,20,24,0.83,"9,658",03:02:44
VIPER VPR-F,32,15,16,0.94,16,23,0.7,"9,909",03:01:57
SHADOW HAWK SHD-2H,32,9,23,0.39,8,28,0.29,"10,734",02:57:22
DERVISH DV-7D,30,23,7,3.29,14,21,0.67,"6,746",02:38:03
URBANMECH UM-R80(L),18,11,6,1.83,3,10,0.3,"1,911",02:31:54
FIREBALL,23,12,11,1.09,16,15,1.07,"6,506",02:24:39
ARCTIC CHEETAH ACH-E,20,8,12,0.67,3,14,0.21,"4,644",02:19:47
BLACK KNIGHT BL-7-KNT,21,9,10,0.9,10,17,0.59,"6,207",02:10:40
NIGHT GYR NTG-D(CS),22,12,10,1.2,8,17,0.47,"6,776",02:04:37
BELIAL,20,9,11,0.82,7,17,0.41,"7,316",01:56:06
INVICTUS,16,7,8,0.88,6,13,0.46,"5,195",01:52:46
CATAPULT CPLT-A1(C),15,4,11,0.36,1,14,0.07,"3,290",01:51:08
JENNER IIC JR7-IIC-2,20,11,9,1.22,11,15,0.73,"6,553",01:51:03
SPIDER SDR-5D(P),14,10,4,2.5,15,6,2.5,"6,389",01:39:45
EXECUTIONER EXE-A,16,7,9,0.78,5,9,0.56,"5,145",01:34:11
HELLSPAWN HSN-8P,16,7,8,0.88,9,12,0.75,"4,549",01:33:48
UZIEL UZL-6P,12,7,5,1.4,8,10,0.8,"4,107",01:31:16
JAGERMECH JM6-A(C),13,4,9,0.44,4,12,0.33,"2,153",01:29:41
EBON DRAGOON,13,10,3,3.33,10,5,2.0,"4,301",01:28:33
WARHAWK WHK-C(C),9,7,2,3.5,7,4,1.75,"2,490",01:20:30
CRAB CRB-27B,13,7,6,1.17,8,9,0.89,"2,649",01:14:01
CRUSADER CRD-6T(P),9,3,6,0.5,9,5,1.8,"2,477",01:13:41
MARAUDER IIC MAD-IIC-A,12,5,7,0.71,3,10,0.3,"2,495",01:08:40
EBON JAGUAR EBJ-B,13,5,7,0.71,5,9,0.56,"3,216",01:07:47
HUGINN,14,6,8,0.75,9,12,0.75,"3,361",01:06:50
CRUSADER CRD-6T,12,6,6,1.0,10,8,1.25,"3,790",01:06:03
SPIDER SDR-5K(C),12,3,9,0.33,4,10,0.4,"1,953",01:05:54
FIRESTARTER FS9-A,11,5,6,0.83,7,6,1.17,"2,788",01:03:19
STALKER STK-4N,9,7,2,3.5,4,5,0.8,"2,599",00:58:57
PHOENIX HAWK PXH-1B,8,2,6,0.33,4,7,0.57,"1,612",00:58:31
GRID IRON,10,3,7,0.43,6,7,0.86,"3,182",00:55:09
MAULER MAL-2P(S),9,2,7,0.29,5,8,0.63,"2,310",00:53:05
JENNER IIC JR7-IIC,8,4,4,1.0,3,7,0.43,"1,668",00:48:09
KODIAK KDK-3(C),8,2,6,0.33,3,6,0.5,"1,155",00:47:48
SHADOW CAT SHC-PRIME(C),6,3,3,1.0,0,5,0.0,"1,844",00:47:04
LOCUST LCT-3S,11,6,4,1.5,1,9,0.11,550,00:46:02
BATTLEMASTER BLR-2C(C),7,3,4,0.75,2,6,0.33,"1,620",00:45:28
THE BOAR'S HEAD,5,3,2,1.5,6,3,2.0,"2,554",00:31:39
CATAPULT CPLT-A1,13,6,7,0.86,11,6,1.83,"4,080",00:29:43
JAVELIN JVN-11A,4,3,1,3.0,0,1,0.0,833,00:27:07
SUN SPIDER SNS-D,4,2,2,1.0,5,3,1.67,"2,092",00:26:53
NOVA CAT NCT-PRIME,3,1,2,0.5,1,2,0.5,"1,206",00:26:41
BLACKJACK BJ-2(L),4,3,1,3.0,2,2,1.0,910,00:26:02
WARHAMMER WHM-6D,4,4,0,4.0,3,3,1.0,"1,062",00:25:42
URBANMECH UM-R60L,4,2,2,1.0,2,2,1.0,925,00:25:25
UZIEL UZL-3P(C),10,4,6,0.67,2,8,0.25,"1,571",00:23:31
ORION IIC ON1-IIC-C,5,4,1,4.0,5,5,1.0,"2,573",00:21:54
RAVEN RVN-3L,3,1,2,0.5,0,2,0.0,354,00:20:59
JENNER IIC JR7-IIC(C),4,2,2,1.0,4,4,1.0,"1,137",00:20:39
URBANMECH UM-R68,3,1,2,0.5,0,3,0.0,688,00:17:34
CRUSADER CRD-5K,2,1,1,1.0,1,1,1.0,844,00:15:49
MIST LYNX MLX-PRIME(C),2,1,1,1.0,3,1,3.0,719,00:13:20
EBON JAGUAR EBJ-PRIME(C),2,1,1,1.0,1,1,1.0,361,00:13:08
ARCTIC CHEETAH ACH-PRIME(C),2,1,1,1.0,2,1,2.0,467,00:12:41
SHADOW CAT SHC-P,2,1,1,1.0,0,2,0.0,654,00:10:51
MARAUDER MAD-3R,2,2,0,2.0,0,2,0.0,182,00:10:13
LINEBACKER LBK-H(C),2,0,2,0.0,1,2,0.5,614,00:09:58
ARCTIC WOLF ACW-1,2,1,1,1.0,1,1,1.0,516,00:09:01
STORMCROW SCR-PRIME(C),1,1,0,1.0,1,0,1.0,664,00:08:05
KIT FOX KFX-P,1,1,0,1.0,0,0,0.0,128,00:06:56
CRAB CRB-27B(C),1,0,1,0.0,1,1,1.0,466,00:06:22
DIRE WOLF DWF-A,1,1,0,1.0,1,1,1.0,306,00:06:22
JAVELIN JVN-10P,1,0,1,0.0,0,1,0.0,145,00:04:39
FIRESTARTER FS9-S(C),1,0,1,0.0,0,1,0.0,133,00:03:43
CRUSADER CRD-3R,1,0,1,0.0,0,1,0.0,213,00:03:03
REDLINE,1,1,0,1.0,0,0,0.0,0,00:02:47
INCUBUS INC-5(C),1,0,1,0.0,0,1,0.0,220,00:02:30
HUNCHBACK HBK-4P,1,1,0,1.0,1,0,1.0,159,00:02:14
